x,fy
206676,1587
46250,521
290495,2079
162029,1724
38169,578
60698,932
290551,1789
191944,1593
211528,1988
80722,814
231635,1620
85545,740
319084,2684
146905,1932
131215,957
332600,2262
193675,1669
278515,3755
337994,4299
44399,117
212330,2014
183708,1460
320334,2929
128889,941
125407,1973
15907,190
25882,242
72044,1221
105764,833
108257,1731
529556,4620
20418,240
160687,1248
61832,665
38383,364
58821,402
179495,1840
74025,1287
54639,314
2794,2
22258,203
118279,1465
1768,10
27459,49
107063,1233
58270,696
58543,227
152858,978
23821,219
53037,505
34349,125
52630,163
225271,821
120301,1228
5188,30
21384,139
88974,467
21331,85
60561,264
256319,2028
22304,181
39866,616
60079,529
156710,902
87853,425
14789,97
39030,408
9402,64
12051,110
65991,370
9848,116
4449,65
5575,54
5878,28
98046,377
4401,56
10383,47
16304,239
10410,170
8458,59
24839,156
136318,844
16304,367
126081,571
18762,198
8033,251
58050,236
79283,1568
22573,119
107266,323
31803,217
40425,292
39546,352
34647,231
150344,559
81677,527
60044,1709
60756,2029
110653,848
175924,905
158939,679
159134,541
197386,1630
34153,258
53007,727
144246,670
87711,388
50460,839
164120,1324
83251,305
82510,765
103693,357
92656,751
185218,600
128028,593
11974,49
75105,1124
102722,597
41991,676
70970,1425
70499,666
108872,832
58975,735
78567,379
57361,70
85475,614
86391,379
97502,328
113818,464
94450,1030
141754,950
39961,292
122202,844
104955,618
173201,1873
33761,86
252623,1593
85219,706
120899,628
80631,420
129768,1731
112716,419
146385,1182
133536,953
108582,416
82172,500
80724,466
225043,828
120953,322
79193,659
152843,1492
128286,740
87787,216
149210,400
115194,506
179169,686
133368,580
154850,997
62401,765
35413,455
63628,2655
83221,458
66787,674
70957,774
107246,374
88092,493
110533,787
82250,837
87867,316
77314,295
58665,1722
108740,2607
45486,366
47865,1591
208355,683
96753,390
137634,1208
35796,1165
77091,4118
110448,415
128784,3066
123382,1977
81420,877
27791,1660
88037,640
95397,934
74508,682
94232,839
110161,740
66619,249
126776,327
87015,584
122663,832
129002,396
64436,349
99823,569
140243,728
91484,815
90394,661
110049,547
107379,1105
38310,224
161126,705
125737,507
13503,45
110928,3351
